Grammar Point,Mastered?,Percent Completed,Grammar Points Mastered,English
～ばいいのに,FALSE,,,It would be nice if; you should
～わけです,FALSE,,,That means; in other words
何といっても,FALSE,,,After all; no matter what
～ような気がする,FALSE,,,Feel like; have a feeling that
～ことにする,FALSE,,,Decide to; make it a rule to
以外の,FALSE,,,Other than; except for
～に気をつける,FALSE,,,Be careful about; pay attention to
別に～ない,FALSE,,,Not particularly; not especially
～しか～ない,FALSE,,,Only; nothing but
～にあたる,FALSE,,,Correspond to; be equivalent to
とうてい,FALSE,,,Cannot possibly; utterly
のぼる,FALSE,,,Climb; rise; reach
～ないで済む,FALSE,,,Get by without; manage to avoid
がてら,FALSE,,,While; at the same time as
および,FALSE,,,And; as well as
いったんーば,FALSE,,,Once; if ever
よっぽど,FALSE,,,Quite; very; to a great extent
つうじて（通じて）,FALSE,,,Through; via
思うように,FALSE,,,As one wishes; as expected
いよいよ,FALSE,,,At last; finally; increasingly
～からなる(成る),FALSE,,,Consist of; be composed of
～より仕方がない,FALSE,,,Have no choice but to
～ものですから,FALSE,,,Because; due to
～なかなか～ない,FALSE,,,Not easily; not readily
せっかく,FALSE,,,With much effort; specially
やむをえず,FALSE,,,Unavoidably; inevitably
やっぱり,FALSE,,,As expected; after all
かたわら（傍ら）,FALSE,,,While; besides; at the same time as
ろくに,FALSE,,,Hardly; barely; insufficiently
なるべく,FALSE,,,As much as possible
かねる,FALSE,,,Be unable to; cannot
せいか,FALSE,,,Perhaps because
たしか,FALSE,,,Surely; certainly; probably
～ではないだろうか,FALSE,,,Wouldn’t it be; isn’t it likely
～わけにはいかない,FALSE,,,Cannot afford to; cannot very well
まんいち（万一）,FALSE,,,In case; if by chance
～は～に限る,FALSE,,,Nothing better than; the best is
ゆえに,FALSE,,,Therefore; consequently
一方では,FALSE,,,On one hand; on the other hand
なにしろ（何しろ）,FALSE,,,After all; in any case
それにしても,FALSE,,,Even so; nonetheless
～を～にまかせる,FALSE,,,Leave (something) to (someone)
～というわけではない,FALSE,,,It doesn’t mean that; it’s not the case that
かけては,FALSE,,,When it comes to; regarding
たちまち,FALSE,,,In an instant; immediately
さすがに,FALSE,,,As expected; indeed
～に越したことはない,FALSE,,,Nothing better than; it’s best to
ものの,FALSE,,,Although; even though
いつのまにか,FALSE,,,Before one knows; unnoticed
さしつかえない,FALSE,,,No problem; it’s okay to
あえて,FALSE,,,Dare to; intentionally
たまらない,FALSE,,,Unbearable; cannot stand
～た上で,FALSE,,,After; upon
～ないわけにはいかない,FALSE,,,Cannot help but; must
ごとし（如し）,FALSE,,,Like; as if
かねない,FALSE,,,Might; could possibly
ろくに～ない,FALSE,,,Not properly; hardly
～と言っても～,FALSE,,,Although one says; even though
～が気になる,FALSE,,,Be concerned about; worry about
せめて,FALSE,,,At least
～でいいです,FALSE,,,That’s enough; that will do
くせに,FALSE,,,Even though; despite
いたるまで（至るまで）,FALSE,,,All the way to; as far as
