Grammar Point,Mastered?,Percent Completed,Grammar Points Mastered,English
～めく,FALSE,,,To seem like; to have the appearance of
～かたわら,FALSE,,,While; besides; at the same time as
～と思いきや,FALSE,,,Just when I thought; to my surprise
～が早いか,FALSE,,,As soon as; no sooner than
ただ～のみ,FALSE,,,Only; merely; simply
～なり,FALSE,,,As soon as; the moment
～や否や（いなや）,FALSE,,,As soon as; no sooner than
～ごとき,FALSE,,,Like; as if; such as
～がてら,FALSE,,,While (doing); on the way
～を皮切りに,FALSE,,,Starting with; as a beginning
～をもって,FALSE,,,By means of; at the time of; with
～が最後,FALSE,,,Once (something happens), it’s over
～まみれ,FALSE,,,Covered in; smeared with
～とあれば,FALSE,,,If; when; in the case that
～ともなると,FALSE,,,Once it reaches the point of; when it comes to
～なくしては,FALSE,,,Without; if not for
～なしに,FALSE,,,Without; without doing
～ならでは,FALSE,,,Uniquely of; special to
～に足る,FALSE,,,Worthy of; sufficient to
～とあって,FALSE,,,Because of; due to
～べく,FALSE,,,In order to; for the purpose of
～かたがた,FALSE,,,While; at the same time as
～たところで,FALSE,,,Even if; even though
～であれ,FALSE,,,Whether it be; even if
～にたえない,FALSE,,,Unbearable; unable to
～を限りに,FALSE,,,Starting from; as of; to the limit
～ところを,FALSE,,,Even though; despite the fact
～にそくして,FALSE,,,Based on; in accordance with
～とはいえ,FALSE,,,Although; even though
～ものを,FALSE,,,Although; even though
～ようが,FALSE,,,No matter what; whether or not
～いかん,FALSE,,,Depending on; regardless of
～と相まって,FALSE,,,Coupled with; together with
～をよそに,FALSE,,,Disregarding; ignoring
～ないまでも,FALSE,,,Even if not; though not
～てもさしつかえない,FALSE,,,It’s okay to; no problem even if
～たる,FALSE,,,Worthy of; qualifying as
～まじき,FALSE,,,Unacceptable for; inappropriate for
～極まる,FALSE,,,Extremely; to the utmost
～にかこつけて,FALSE,,,Using as an excuse; under the pretext
～に（は）あたらない,FALSE,,,It’s not worth; there’s no need to
～にかたくない,FALSE,,,Not difficult to; easy to
～べからず,FALSE,,,Must not; should not
～を禁じ得ない,FALSE,,,Cannot help but; cannot suppress
～たりとも,FALSE,,,Even (one); not even
～きらいがある,FALSE,,,Tend to; have a tendency to
～しまつだ,FALSE,,,End up; result in
～を余儀なくされる,FALSE,,,Be forced to; be compelled to
～てやまない,FALSE,,,Always; sincerely and deeply
～割りに（は）,FALSE,,,Considering; although
～かいもなく,FALSE,,,Despite; even though
～だけまし,FALSE,,,Be grateful that; at least
～ないではすまない,FALSE,,,Cannot avoid; must
～をふまえて,FALSE,,,Based on; taking into account
～をおして,FALSE,,,In spite of; pushing through
～を経て,FALSE,,,Through; via; after
～ゆえ,FALSE,,,Because of; due to
～ながらも,FALSE,,,Although; despite
～ことなしに,FALSE,,,Without; without doing
～ではあるまいし,FALSE,,,It’s not like; it’s not as though
～てからというもの,FALSE,,,Ever since; from the time
～としたところで,FALSE,,,Even if; even though
～（で）すら,FALSE,,,Even; to the extent that
～といえども,FALSE,,,Although; even though
～っぱなし,FALSE,,,Leaving (something) as is
～ずくめ,FALSE,,,Entirely; all; completely
～ながらに,FALSE,,,While; as; unchanged since
～にもまして,FALSE,,,More than; above all
～にひきかえ,FALSE,,,In contrast to; compared to
～はおろか,FALSE,,,Let alone; not to mention
